m30,BTR,FET,FDT,SHR,GRS,CRP
61590,14.535,34.104,9.613,12.837,10.808,3.012
61591,21.104,28.091,12.068,11.663,8.642,2.772
61592,12.689,26.354,7.198,17.974,13.511,10.702
61593,8.264,24.209,4.65,13.587,11.652,28.021
61594,1.553,14.579,0.887,6.633,9.519,60.792
61595,1.957,12.457,0.886,5.571,9.087,64.974
61596,14.546,13.267,4.821,7.004,8.588,42.704
61597,8.593,12.007,1.92,6.777,9.231,52.086
61598,1.261,11.961,0.6,7.523,10.867,59.504
61599,0.685,12.191,0.451,10.206,13.159,55.951
61600,0.776,13.905,0.501,6.25,9.708,63.207
61601,0.222,11.674,0.151,6.366,10.116,67.127
61602,0.035,9.548,0.027,5.135,9.421,71.483
61603,0.063,11.959,0.053,5.193,9.834,68.826
61604,0.097,13.531,0.068,5.896,9.584,66.674
61605,3.31,18.819,1.261,5.002,8.193,57.393
61606,3.669,24.528,1.838,4.421,7.136,50.99
61607,2.328,28.869,1.095,4.168,6.78,48.782
61608,4.732,27.302,2.241,5.826,7.502,43.929
61609,4.242,24.494,1.873,6.003,8.395,47.371
61610,11.267,29.586,6.448,8.817,9.01,23.115
61611,10.879,45.049,7.751,8.912,7.942,3.546
61612,15.456,42.06,9.778,7.161,5.252,3.321
61613,16.612,15.479,6.842,5.481,7.227,37.312
61614,5.736,9.304,1.334,4.973,8.931,63.037
61615,4.152,7.575,1.298,4.814,8.805,66.513
61616,2.67,8.136,0.66,6.046,9.705,65.925
61617,3.569,15.265,1.526,4.851,7.946,59.171
61618,1.82,14.014,0.864,6.388,9.543,58.756
61619,0.132,9.605,0.09,4.934,8.888,67.486
61620,0.116,10.983,0.076,4.286,8.491,70.948
61621,0.02,8.92,0.017,4.439,8.732,73.049
61622,0.104,8.179,0.086,4.406,8.806,73.235
61623,0.111,7.711,0.094,4.509,9.201,73.398
61624,0.049,8.861,0.04,5.331,9.436,66.051
61625,0.073,8.491,0.062,5.068,9.299,69.981
61626,0.065,7.336,0.055,4.461,8.657,72.072
61627,0.078,6.328,0.067,4.896,8.886,71.393
61628,0.056,4.758,0.044,4.493,8.947,58.221
61629,0.092,4.309,0.073,3.999,9.276,56.839
61630,0.141,4.224,0.111,4.491,8.709,64.749
61631,0.111,3.978,0.085,4.182,8.801,64.675
61632,0.058,4.431,0.048,4.613,8.793,69.791
61633,0.035,4.541,0.03,4.611,8.832,70.932
61634,0.11,5.577,0.086,4.615,8.861,73.867
61635,0.618,6.175,0.34,5.742,9.284,71.602
61636,0.121,4.127,0.096,6.53,9.628,56.002
61637,0.109,3.377,0.084,3.647,7.442,57.213
61638,0.059,2.88,0.047,5.163,7.625,41.575
61639,0.434,6.028,0.304,5.188,7.632,46.354
61640,0.514,7.602,0.389,10.112,13.351,59.188
61641,0.384,6.236,0.271,6.405,10.419,68.931
61642,0.188,5.293,0.135,5.499,8.509,66.72
61643,0.088,5.944,0.069,6.387,8.384,65.411
61644,0.194,5.868,0.126,4.866,8.692,70.492
61645,0.124,6.893,0.082,4.516,8.553,68.32
61646,0.021,6.504,0.017,4.369,9.364,67.348
61647,0.01,6.123,0.008,5.014,12.135,62.91
61648,0.025,5.182,0.019,6.873,36.634,32.004
61649,0.002,4.663,0.002,6.994,54.41,12.084
61650,0.004,2.722,0.003,7.306,60.539,4.48
61651,0.001,0.444,0.001,7.474,56.888,3.634
61652,0,0.194,0,7.005,58.06,3.433
61653,0,0.072,0,7.351,56.472,3.246
61654,0.005,0.392,0.005,7.295,49.896,5.556
61655,0.003,0.583,0.002,4.919,22.057,11.285
61656,0.003,0.322,0.001,6.879,37.322,10.348
61657,0,0.046,0,6.436,37.566,2.398
61658,0,0.031,0,7.329,35.185,2.252
61659,0,0.015,0,8.971,32.859,2.183
61660,0,0.027,0,9.126,34.776,2.28
61661,0,0.038,0,14.503,28.06,2.161
61662,0,0.062,0,6.645,34.848,2.169
61663,0,0.055,0,9.42,29.463,2.014
61664,0.014,1.343,0.013,22.769,29.587,3.285
61665,0,0.295,0,29.211,25.058,2.937
61666,0,0.219,0,21.999,24.494,2.319
61667,0,0.001,0,17.841,18.118,1.821
61668,0,0.054,0,7.742,37.566,2.513
61669,0,0.005,0,5.717,39.426,2.365
61670,0,0.001,0,5.77,38.919,2.363
61671,0,0.004,0,4.876,39.414,2.365
61672,0,0.001,0,4.704,38.338,2.273
61673,0,0,0,4.207,34.462,1.943
61674,0,0.001,0,4.964,39.899,2.371
61675,0,0,0,4.018,32.937,1.907
61676,0,0.009,0,3.459,27.643,1.734
61677,0,0.014,0,4.578,37.827,2.275
61678,0,0.001,0,4.091,32.226,1.827
61679,0,0,0,2.994,24.071,1.359
61680,0,0.015,0,4.388,36.376,2.083
61681,0,0.004,0,4.025,33.349,1.94
61682,0,0.002,0,3.45,27.782,1.628
61683,0,0.002,0,3.716,28.49,1.721
61684,0,0.002,0,5.609,27.471,1.727
61685,0,0,0,4.813,21.072,1.371
61686,0,0,0,3.544,24.233,1.413
61687,0,0,0,2.797,21.349,1.224
61688,0,0,0,2.593,21.083,1.178
61689,0,0,0,3.237,26.515,1.445
61690,0,0,0,3.123,24.435,1.389
