m30,BTR1,FET1,FDT1,SHR1,GRS1,CRP1,AVE1
17123,128,765,8,5642,1002,12,60.5
17124,128,765,8,6027,1092,12,119
17125,128,765,8,6027,1087,12,164.3
17126,128,25,8,5386,951,12,128.5
17127,128,25,8,2436,711,12,12.8
17128,128,25,8,3462,593,12,59.7
17129,128,25,8,2693,325,12,43
17130,128,25,8,4488,508,12,31.9
17131,128,25,8,5514,1129,4,0.6
17133,128,25,8,0,0,4,0
17134,128,25,8,6412,1129,12,77.2
17135,128,25,8,6412,1129,12,8.6
17412,128,25,8,11156,1129,12,12.6
17413,128,25,8,11156,1129,12,1.8
17414,128,25,8,11156,1129,12,17.6
17415,128,6373,8,11156,1129,12,182.7
17416,128,25,8,11156,1129,12,166.6
17417,128,25,8,11156,1129,12,13.9
17418,128,25,8,11156,1129,12,7.3
17419,128,25,8,11156,1129,12,46.1
17420,128,25,8,11156,1129,12,15.6
17428,128,25,8,11156,1129,12,2.4
17429,128,25,8,11156,1129,12,7.4
17430,128,25,8,11156,1129,12,3.5
17436,128,25,8,11156,1129,12,0.9
17437,128,25,8,11156,1129,12,9.1
17447,128,25,8,11156,1129,4,1.2
17449,128,25,8,11156,1129,12,16.9
17450,128,25,8,11156,1129,12,16.2
17451,128,25,8,11156,1129,4,5.5
17452,128,25,8,11156,1129,12,10
17453,128,25,8,11156,1129,12,14.3
17454,128,25,8,11156,1129,12,7.4
17458,128,25,8,11028,1115,12,20.9
17459,128,25,8,11156,1129,12,34
17460,128,25,8,11156,1129,12,23.7
17461,128,25,8,11156,1129,12,5.6
17464,128,25,8,11156,1129,12,309.8
17465,128,6373,8,11156,1129,12,1175.2
17466,128,6373,8,11156,1129,12,1554.1
17467,128,6373,8,11156,1129,12,679.6
17468,128,6373,8,11028,1120,12,354.4
17469,128,25,8,11156,1129,12,18.4
17470,128,25,8,11156,1120,12,63.6
17471,128,25,8,10515,1073,12,109.4
17472,128,6373,8,11156,1120,12,751
17473,128,6373,8,11156,1129,12,1340.8
17474,128,6373,8,11156,1120,12,1850.5
17475,128,6373,8,11028,1111,12,820.1
17476,128,6373,8,11156,1129,12,420.5
17477,128,6373,8,10900,1096,12,455
17485,128,25,8,0,0,4,0
17496,128,25,8,0,0,4,0
17497,128,0,8,385,56,12,0.8
17498,128,25,8,11028,1101,12,5.7
17499,128,25,8,7053,1045,12,22.3
17500,128,127,8,10131,1026,12,101
17501,128,153,8,11156,1129,12,141.3
17502,128,153,8,11156,1129,12,308.8
17503,128,153,8,11156,1129,12,98.7
17504,128,153,8,10900,1054,12,61
17505,128,153,8,11156,1129,12,74.2
17506,128,153,8,11156,1129,12,47
17507,128,153,8,7822,1002,12,8.7
17508,128,153,8,11156,1129,12,30.7
17596,128,25,8,11156,1129,4,10.1
17597,128,153,8,9233,993,12,10.6
17598,128,153,8,10387,1068,12,315.2
17599,128,153,8,10772,1096,12,106.3
17600,128,51,8,6027,612,12,24
17601,128,25,8,3719,376,12,0.4
17602,128,25,8,11156,1129,4,0.4
17668,128,714,8,6155,1087,12,444.9
17669,128,433,8,6027,1068,12,239.6
17670,128,739,8,6284,1068,12,322.5
17671,128,765,8,6284,1096,12,453.8
17672,128,739,8,6027,1096,12,530
17673,128,739,8,6284,1120,12,250.6
