Soil NOx emissions calculated according to an implementation of Yienger and Levy 1995
Tsoil, soil wetness, soil NO emission flux and canopy top flux (when) using CRF
Soil NO emission fluxes are calculated for Yienger and Levy emission class: Agric.-land              
Implying a wet soil NO emission factor:   0.36 [ngN m-2 s-1] and a dry soil NO emission factor:   0.36
     istep       ldatltime          Tsoil             ws      NO_slflux      NO_emflux
         # dd-mm-yy hh:min              K              m  molec m-2 s-1 molec. m-2 s-1
       173  28-06-12 01:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       174  28-06-12 02:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       175  28-06-12 02:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       176  28-06-12 03:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       177  28-06-12 03:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       178  28-06-12 04:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       179  28-06-12 04:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       180  28-06-12 05:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       181  28-06-12 05:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       182  28-06-12 06:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       183  28-06-12 06:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       184  28-06-12 07:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       185  28-06-12 07:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       186  28-06-12 08:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       187  28-06-12 08:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       188  28-06-12 09:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       189  28-06-12 09:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       190  28-06-12 10:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       191  28-06-12 10:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       192  28-06-12 11:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       193  28-06-12 11:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
